id;date;cheveux;age;exp;salaire;sexe;diplome;specialite;note;dispo;embauche
283;09/05/2013;brun;30.0;0.0;32969.0;M;doctorat;forage;96.81;oui;0
384;31/08/2011;chatain;25.0;0.0;41290.0;M;master;detective;59.17;oui;0
1255;16/12/2010;chatain;44.0;0.0;35699.0;F;master;detective;72.87;oui;0
1531;29/06/2011;roux;30.0;0.0;39810.0;M;licence;geologie;95.71;oui;1
2388;21/08/2012;brun;54.0;0.0;38535.0;M;licence;forage;66.06;non;0
2581;21/09/2014;chatain;31.0;0.0;35757.0;M;master;detective;59.02;oui;0
3168;26/05/2012;brun;43.0;0.0;30491.0;M;master;geologie;71.65;non;0
3480;19/10/2014;brun;29.0;0.0;24649.0;F;doctorat;forage;121.85;oui;0
3610;23/08/2011;blond;30.0;0.0;29315.0;F;licence;forage;93.63;non;0
5324;09/05/2014;blond;12.0;0.0;38436.0;M;licence;forage;82.39;oui;0
5574;13/09/2013;chatain;36.0;0.0;40595.0;F;licence;detective;66.87;oui;0
6298;21/08/2013;brun;47.0;0.0;32978.0;M;master;detective;85.66;oui;0
7518;24/12/2013;blond;49.0;0.0;36117.0;F;licence;detective;87.48;oui;0
7892;02/08/2011;roux;34.0;0.0;31916.0;M;licence;geologie;83.14;non;0
8674;19/05/2013;blond;51.0;0.0;34524.0;M;licence;geologie;64.73;non;0
9874;01/12/2014;chatain;40.0;0.0;37452.0;F;licence;geologie;97.84;non;0
14799;26/11/2011;brun;37.0;0.0;30202.0;F;licence;detective;79.73;non;0
14951;27/09/2014;chatain;25.0;0.0;31585.0;F;doctorat;forage;101.19;oui;0
16700;02/09/2014;blond;22.0;0.0;36706.0;F;licence;forage;64.83;non;0
16910;01/08/2012;blond;27.0;0.0;26894.0;M;master;geologie;96.28;non;0
17034;23/04/2013;blond;38.0;0.0;41646.0;M;bac;geologie;48.63;non;0
17944;31/08/2013;blond;45.0;0.0;37653.0;F;bac;geologie;75.52;non;0
17959;24/07/2010;chatain;34.0;0.0;24236.0;M;doctorat;geologie;73.54;non;0
1105;25/10/2014;brun;28.0;1.0;37866.0;M;licence;geologie;65.46;non;0
1670;08/03/2013;blond;44.0;1.0;29308.0;M;master;forage;83.21;oui;0
