id;age;job;marital;education;default;housing;loan;contact;month;day_of_week;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed
24717;32;entrepreneur;married;university.degree;no;yes;yes;telephone;nov;mon;1;999;1;failure;-0.1;93.2;-42.0;4.191;5195.8
4265;34;management;single;university.degree;no;no;no;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
10956;24;services;single;high.school;no;yes;no;telephone;jun;wed;1;999;0;nonexistent;1.4;94.465;-41.8;4.962;5228.1
33553;46;technician;married;professional.course;no;yes;no;telephone;may;tue;4;999;0;nonexistent;-1.8;92.893;-46.2;1.291;5099.1
39384;27;admin.;single;university.degree;no;no;no;cellular;mar;tue;4;999;0;nonexistent;-1.8;93.369;-34.8;0.635;5008.7
18221;31;blue-collar;single;basic.9y;no;no;yes;cellular;jul;wed;2;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
25226;54;admin.;divorced;university.degree;no;yes;yes;cellular;nov;tue;2;999;0;nonexistent;-0.1;93.2;-42.0;4.153;5195.8
22870;51;services;married;high.school;no;no;no;cellular;aug;mon;3;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1
2315;38;management;married;basic.9y;no;yes;no;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
2890;29;technician;married;professional.course;no;no;no;telephone;may;wed;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0
3103;30;entrepreneur;married;university.degree;no;no;no;telephone;may;thu;1;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
9329;42;housemaid;single;basic.4y;no;no;no;telephone;jun;fri;1;999;0;nonexistent;1.4;94.465;-41.8;4.967;5228.1
29467;35;blue-collar;married;high.school;unknown;no;no;cellular;apr;mon;3;999;1;failure;-1.8;93.075;-47.1;1.405;5099.1
31134;39;blue-collar;married;professional.course;no;yes;no;cellular;may;wed;1;999;1;failure;-1.8;92.893;-46.2;1.334;5099.1
38803;52;technician;married;professional.course;no;no;no;cellular;nov;fri;5;999;0;nonexistent;-3.4;92.649;-30.1;0.714;5017.5
32884;57;technician;married;high.school;no;no;yes;cellular;may;mon;1;999;1;failure;-1.8;92.893;-46.2;1.299;5099.1
6578;30;blue-collar;married;basic.6y;no;no;no;telephone;may;wed;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
33663;55;blue-collar;divorced;basic.4y;unknown;no;no;cellular;may;wed;1;999;1;failure;-1.8;92.893;-46.2;1.281;5099.1
33622;26;blue-collar;single;basic.9y;no;yes;yes;cellular;may;wed;3;999;0;nonexistent;-1.8;92.893;-46.2;1.281;5099.1
36256;31;services;married;basic.9y;no;no;no;cellular;jun;mon;1;999;0;nonexistent;-2.9;92.963;-40.8;1.266;5076.2
17072;54;blue-collar;married;basic.9y;unknown;yes;no;cellular;jul;fri;5;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
32589;29;admin.;single;high.school;no;yes;no;telephone;may;mon;1;999;0;nonexistent;-1.8;92.893;-46.2;1.299;5099.1
